,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600588.SH,20200807,46.01,46.92,44.79,45.39,46.42,-1.03,-2.2189,244677.69,1122694.83
1,600588.SH,20200806,47.99,47.99,45.7,46.42,47.16,-0.74,-1.5691,230634.62,1069534.349
2,600588.SH,20200805,49.0,49.2,47.0,47.16,47.71,-0.55,-1.1528,200707.88,957265.721
3,600588.SH,20200804,48.43,49.43,47.14,47.71,48.43,-0.72,-1.4867,233118.62,1121487.183
4,600588.SH,20200803,46.7,48.65,46.69,48.43,47.02,1.41,2.9987,278224.7,1332595.188
5,600588.SH,20200731,46.88,47.87,46.1,47.02,46.88,0.14,0.2986,261423.04,1229897.522
6,600588.SH,20200730,46.93,47.64,45.53,46.88,46.68,0.2,0.4284,276059.96,1284522.941
7,600588.SH,20200729,44.7,47.19,44.48,46.68,44.32,2.36,5.3249,332685.03,1547629.245
8,600588.SH,20200728,44.31,44.82,43.35,44.32,44.0,0.32,0.7273,135067.17,594491.666
9,600588.SH,20200727,43.45,44.85,43.44,44.0,43.75,0.25,0.5714,175642.79,772877.988
10,600588.SH,20200724,46.6,47.35,42.4,43.75,46.82,-3.07,-6.557,381732.44,1702911.507
11,600588.SH,20200723,46.71,47.43,45.6,46.82,46.92,-0.1,-0.2131,210088.14,979078.858
12,600588.SH,20200722,45.1,47.6,45.08,46.92,45.89,1.03,2.2445,292608.98,1371673.183
13,600588.SH,20200721,45.84,47.64,45.55,45.89,45.51,0.38,0.835,284507.34,1322024.97
14,600588.SH,20200720,46.01,46.24,44.07,45.51,45.1,0.41,0.9091,245950.14,1110703.118
15,600588.SH,20200717,46.35,46.65,44.16,45.1,45.19,-0.09,-0.1992,286669.71,1299999.607
16,600588.SH,20200716,49.0,50.25,44.1,45.19,49.0,-3.81,-7.7755,452521.77,2124616.991
17,600588.SH,20200715,50.34,51.28,48.59,49.0,50.17,-1.17,-2.3321,403107.99,2008360.617
18,600588.SH,20200714,51.3,51.5,49.41,50.17,51.95,-1.78,-3.4264,429452.53,2159703.061
19,600588.SH,20200713,51.5,53.3,51.0,51.95,52.08,-0.13,-0.2496,309268.83,1606016.816
20,600588.SH,20200710,52.37,53.97,51.38,52.08,52.65,-0.57,-1.0826,240302.04,1264060.207
21,600588.SH,20200709,51.09,54.35,51.0,52.65,51.61,1.04,2.0151,254541.8,1346613.175
22,600588.SH,20200708,50.65,51.89,49.98,51.61,51.0,0.61,1.1961,245815.99,1254457.739
23,600588.SH,20200707,48.73,52.93,48.5,51.0,48.21,2.79,5.7872,337069.17,1713067.953
24,600588.SH,20200706,46.0,49.85,45.56,48.21,46.02,2.19,4.7588,301188.38,1438872.395
25,600588.SH,20200703,46.08,46.98,44.8,46.02,46.0,0.02,0.0435,219845.52,1008563.694
26,600588.SH,20200702,46.8,47.5,45.3,46.0,47.2,-1.2,-2.5424,336957.52,1557782.734
